Kategori,Nama_Toko,Lokasi_Toko,Nama_Produk,Harga_Produk,Terjual,Rating,Tanggal,Terlaris,Bulan
Elektronik,MUHAMAD AJI RAMDANI25,Surabaya,[ Flash Sales ] Reno10 Pro Handphone 7.5inch Layar 16GB+1TB 72MP+108MP HD Kamera 8000Ah Battery 5G Android 14.0 Face ID BISA Cicilan Lowest Price Smartphone,1065080,0,0.0,2025-05-13,0,2025-05
Elektronik,LifestyleHub Shop,Kab. Tangerang,Lampu Smart LED WIFI - Smart Lamp / Bola Lampu Pintar / Bohlam 9 Watt,59000,16,5.0,2025-07-08,0,2025-07
Elektronik,Samsung Official Store,Jakarta Utara,Samsung Galaxy Z Flip7 12/512GB | Smartphone AI | Hp Lipat | Kamera 50MP | 4300 mAh,17999000,12,0.0,2025-05-20,0,2025-05
Elektronik,LifestyleHub Shop,Kab. Tangerang,"GM Bear Vacuum Cleaner 2034 - Penyedot Debu Canggih, Tanpa Kabel, Hisap Super Kuat! Sedotan Kuat 20000Pa, Multifungsi & Praktis",139900,22,4.7,2025-06-12,0,2025-06
Elektronik,Bravhom_NEW,Kab. Bogor,(COD)【July Live Exclusive】Bravhom Panci Listrik Multifungsi 1.8L Waktu Janji Temu Penyesuaian Api Anti Lengket Liner Nano Porselen Putih Perlindungan Terlalu Panas Anti Gores Pelestarian Panas wajan elektrik pancilistrik 2liter electric pot,169000,40,4.5,2025-06-23,0,2025-06
Elektronik,advancetopstore,Kab. Karawang,Advance - G08 Rice Cooker Mini Portable Cocok Untuk Anak Kos Bergaransi,189000,12,5.0,2025-04-18,0,2025-04
Elektronik,STARMAS ELEKTRONIK,Jakarta Barat,"STARMAS Electric Cooking Pot Multifungsi Low Watt Panci Listrik Anak Kos Portable 1,6L Satu Alat Banyak Fungsi Lapisan Keramik Anti Lengket Kabel",288000,2,5.0,2025-06-30,0,2025-06
Elektronik,DCV HomeWell,Tangerang,"Set 5 Obeng Desain Ergonomis, Mata Bor Listrik Magnetik Dengan Magnet Super Kuat, Mata Bor Berulir",99000,100,5.0,2025-07-06,0,2025-07
Elektronik,LifestyleHub Shop,Kab. Tangerang,HAN RIVER SETRIKA PORTABEL UNTUK PERJALANAN MINI - HITAM,89000,100,4.9,2025-07-10,0,2025-07
Elektronik,advancetopstore,Kab. Karawang,Advance WF1605 Kipas Dinding dengan Kecepatan Turbo bergaransi resmi Advance digitals,149000,3000,4.7,2025-05-27,1,2025-05
Elektronik,HANRIVER,Tangerang,HAN RIVER Vacuum Cleaner Wet And Dry Handheld Penyedot Debu Wireless Low Watt 25000Pa Kuat Hisap,399000,100,4.2,2025-06-14,0,2025-06
Elektronik,BeautyHub Shop,Kab. Tangerang,"NK-7766 : Alat Cukur Diisi Ulang dengan Motor Perak PD, Pengisian Cepat 2 Jam, dan Performa Tinggi",83400,1,0.0,2025-05-16,0,2025-05
Elektronik,Livia Elektronik,Bekasi,[PAKET ISI 4PCS]  Lampu  philiipss Led 12 Watt Promo Multipack MyCare Bulb 12w beli 3 Gratis 1 terbatas,54300,500,4.1,2025-05-07,0,2025-05
Elektronik,Afika-Smarthome MKS,Makassar,Set Obeng Reparasi Smartphone 115 in 1 Alat Screwdriver Set Insulated Portable,72696,2,0.0,2025-05-22,0,2025-05
Elektronik,Samsung Electronic Store,Jakarta Barat,Samsung TV 32 Inch HD -UA32HE50EFK dengan Layar Curvature,2399000,16,5.0,2025-06-27,0,2025-06
Elektronik,Keelat DIY Store,Tangerang,KEELAT KCVC06 Vacum Cleaner 3 in 1 Cordless Portable Mini Penyedot Debu Garansi Resmi 365 Hari Peralatan Vacuum,289000,24,4.8,2025-04-23,0,2025-04
Elektronik,Samsung Official Store,Jakarta Utara,Samsung Galaxy Z Fold7 12/512GB | Smartphone AI | Hp Lipat Tipis | Kamera 200MP | 4400 mAh,28499000,12,0.0,2025-06-10,0,2025-06
Elektronik,future store,Tangerang,TELIJIA TE-P3 BUSA PEMBERSIH NANO CLEAN SPONGES ORIGINAL - Sponge Kecil Busa Isi Banyak Pembersih Untuk IC PCB - Busa Pembersih Elektronik - Busa Untuk Pembersih Komponen Part Part Handphone Elektronik - Spon Pembersih Part Komponen Elektronik,52170,8,0.0,2025-06-24,0,2025-06
Elektronik,Samsung Official Store,Jakarta Utara,Samsung Galaxy Z Fold7 12/512GB | Smartphone AI | Hp Lipat Tipis | Kamera 200MP | 4400 mAh,28499000,12,0.0,2025-04-17,0,2025-04
Elektronik,future store,Tangerang,TELIJIA TE-P3 BUSA PEMBERSIH NANO CLEAN SPONGES ORIGINAL - Sponge Kecil Busa Isi Banyak Pembersih Untuk IC PCB - Busa Pembersih Elektronik - Busa Untuk Pembersih Komponen Part Part Handphone Elektronik - Spon Pembersih Part Komponen Elektronik,52170,8,0.0,2025-07-12,0,2025-07
Elektronik,BeautyHub Shop,Kab. Tangerang,Nikai 6826 : Set Pencukur dan Pemangkas Multifungsi dengan Motor Berkualitas Tinggi dan Lampu Indikator Pengisian Daya,95400,0,0.0,2025-04-25,0,2025-04
Elektronik,Moon Star Shop Surabaya,Surabaya,[MOON] Mesin Pengering Pakaian Portabel Listrik  Anti Bakteri Cepat Kering  Hemat Energi Cocok Rumah Kos Kantor dan Travel Aman Overheat Protection​,265000,20,5.0,2025-07-15,0,2025-07
Elektronik,bxviko,Jakarta Utara,OBENG SET HP MULTI 31 IN 1 SCREWDRIVER HANDPHONE ELEKTRONIK LAPTOP PC,45000,0,0.0,2025-05-20,0,2025-05
Elektronik,FINITO ELEKTRONIK_NEW,Semarang,Rice Cooker Mini New/Penanak Nasi Mini dengan Panci Anti Lengket (0.8L/300W) Untuk 1~2 Orang New,175000,27,5.0,2025-06-02,0,2025-06
Elektronik,Ratusan variasi-Toko Elektronik,Kab. Tangerang,Jabra Elite 85t Advanced Noise Cancelling Earbuds Original 100% with Charging Case Jabra Earphone Bluetooth Microphone Wireless Headphone Bluetooth Headset Gaming,380000,90,5.0,2025-05-19,0,2025-05
Elektronik,ORITEK,Tangerang Selatan,Adaptor 12 volt Multi RO Elektronik,20250,0,0.0,2025-05-23,0,2025-05
Elektronik,JEFRY ELEKTRONIK,Kab. Jember,kabel speaker audio crimson 4x1.5mm harga per 1 meter,9483,50,5.0,2025-06-17,0,2025-06
Elektronik,Xiaomi Indonesia,Kab. Tangerang,Xiaomi TV A Pro 55 2026 | 4K QLED 120 Hz Game Boost Mode | Google TV | Apple Airplay [Official Store],5398000,100,5.0,2025-05-23,0,2025-05
Elektronik,BeautyHub Shop,Kab. Tangerang,"Induction Switch Mini Electric Shaver S-677 : Alat cukur ringkas dengan Waterproof IPX-6, pengisian daya cepat TYPE-C, cocok untuk kumis & jenggot rotary",156999,0,0.0,2025-06-08,0,2025-06
Elektronik,Bintang Timbul,Jakarta Barat,"Obeng Presisi 25in1, Set Reparasi Elektronik HP Tablet, Kepala Lengkap & Tas Kulit Portabel",22233,0,0.0,2025-05-29,0,2025-05
