,Kategori,Nama_Toko,Lokasi_Toko,Nama_Produk,Harga_Produk,Terjual,Rating,Terlaris
16207,Perlengkapan Pesta,RUBY TECH MALL,Kab. Tangerang,Buku Brankas Kotak Buku Novel Safety Hidden Storage Box Buku Kamus Uang Ponsel Koin Emas Perhiasan,104990,1000,4.3,1
16208,Perlengkapan Pesta,DAWETHERBAL,Surabaya,VIRGICARE - PERAWATAN KEWANITAAN - KEBERSIHAN KEWANITAAN,111000,1000,5,1
16209,Perlengkapan Pesta,Madina Quran,Bandung,"Buku Set Doa Custom Nama - Lengkap (Doa Harian, Dzikir Pagi Petang, Doa dalam al Quran, Doa untuk orang tersayang)",89300,500,5,0
16210,Perlengkapan Pesta,Metoo Beauty,Kab. Tangerang,[Live PROMO Special] METOO Extra Clean Bundle-BPOM- Gigi Putih / Bebas Sensitif / Bebas Karang Gigi / Pasta Gigi Probiotik  / Gusi Sensitif / Membersihkan Noda Gigi MW-3 Pasta Gigi Advance whitening 100g + Sikat Gigi Extra Clean,38900,6000,4.8,1
16211,Perlengkapan Pesta,Speeds Store,Surabaya,SPEEDS Kaki Katak Diving Fins Laut Perlengkapan Snorkeling Menyelam Kaki Kodok Swimming 017-615,144000,40,4.3,0
16212,Perlengkapan Pesta,NEW INOVATION STORE,Kab. Cilacap,BELI 1 DAPAT 3 POETRY FEMININE CARE PARFUME Wanita Perawatan Keputihan Kewanitaan,20000,7000,4.1,1
16213,Perlengkapan Pesta,DOREENGLOW INDONESIA,Jakarta Barat,DOREENGLOW Perawatan intim wanita Feminine .&(10pca)Keputihan Hygiene Hitam Kewanitaan Pencerah,79000,100,4.9,0
16214,Perlengkapan Pesta,ZPER Mall,Tangerang,ZPER  Washing Machine High Pressure Water Gun Wireless Portable Tool for Washing Lithium Washing Machine ZP005 Car Red,196900,1000,4.8,1
16215,Perlengkapan Pesta,Amore Indonesia_NEW,Kab. Sidoarjo,FUELIN - Fusion W ISO BLENDS ( Whey Protein & Isolate ) 10 Sachet x 35gr - Susu Protein Dilengkapi BCAA - EAA - GLUTAMINE & Enzim Buah Nanas & Pepaya,197000,750,4.8,0
16216,Perlengkapan Pesta,Jakarta Beauty and Skin Care S,Kab. Tangerang,"Krim Mata Jepang, Perawatan Mata, Menenangkan 10ml MX (COD) - Perawatan Mata",85000,3000,4.6,1
16217,Perlengkapan Pesta,aepura,Kab. Tangerang,aepura Red-Ginseng Hair-Activating Shampoo 300ml + Conditioner 180ml | Memperkuat Akar Rambut Anti Rontok No SLS  Perawatan Kering Kusam Keratin,179000,100,4.6,0
16218,Perlengkapan Pesta,aepura,Kab. Tangerang,aepura Red-Ginseng Hair-Activating Shampoo 300ml + Conditioner 180ml | Memperkuat Akar Rambut Anti Rontok No SLS  Perawatan Kering Kusam Keratin,179000,100,4.6,0
16219,Perlengkapan Pesta,Perawatan Pribadi,Tangerang,Pembersih Pakaian Stain Remover Paste Pembersih Serbaguna Pembersih Penghilang Karat Pembersih Kamar Mandi Pembersih Peralatan Dapur Pembersih Lantai  Pembersih - Serbaguna,24900,2000,4.7,1
16220,Perlengkapan Pesta,Chierra Beauty,Kab. Malang,CHIERRA SKINCARE 1 PAKET + SERUM Perawatan Mencerahkan Wajah,220000,750,4.9,0
16221,Perlengkapan Pesta,MISS YON,Denpasar,YONI SKIN CARE - LEBIH HEMAT ISI 4 BODY LOTION WHITENING Perawatan Tubuh | A 27,100000,10000,4.9,1
16222,Perlengkapan Pesta,Ancestor Mall,Tangerang,【MY-HI】Mesin Panjat Steper Panjat Tangga Pendaki Kardio Lipat Peralatan Kebugaran Jogging,800000,1000,4.8,1
